timestamp,SOC_0,SOC_1,SOC_2,SOC_6,SOC_7,SOC_8,Voltage_0,Voltage_1,Voltage_2,Voltage_6,Voltage_7,Voltage_8,Current,DSG_STA,CHG_STA,OV_FLAG,UV_FLAG,Temp_1,Temp_2,switch_status,voltage(V),current(A),time(s),AH,WH,temperature,stop_voltage(V),timer(s)
1743832255573,1.0,1.0,1.0,1.0,1.0,1.0,4161,4224,4210,4199,4220,4211,-0.071,1,0,1,0,22.0,21.9,True,252.68,0.167,1800,0.0,0.0,23,16.2,1800
1743832256174,1.0,1.0,1.0,1.0,1.0,0.99,3985,4122,4114,4103,4123,4020,-0.069,1,0,1,0,21.8,21.6,True,241.4,1.561,1800,0.0,0.0,23,16.2,1800
1743832256775,0.99,0.99,0.99,0.99,0.99,0.99,4004,4081,4078,4084,4085,3982,-1.498,1,0,1,0,21.8,21.6,True,237.46,1.562,1799,0.0,0.01,23,16.2,1800
1743832257375,0.99,0.99,0.99,0.99,0.99,0.99,4001,4077,4073,4080,4081,3976,-1.498,1,0,1,0,21.8,21.6,True,237.31,1.561,1799,0.0,0.011,23,16.2,1800
1743832257974,0.99,0.99,0.99,0.99,0.99,0.99,3960,4077,4074,4084,4080,3973,-1.497,1,0,1,0,21.8,21.6,True,237.16,1.561,1798,0.001,0.02,24,16.2,1800
1743832258574,0.99,0.99,0.99,0.99,0.99,0.99,3999,4073,4070,4078,4078,3973,-1.497,1,0,1,0,21.8,21.6,True,237.06,1.562,1797,0.001,0.031,24,16.2,1800
1743832259175,0.99,0.99,0.99,0.99,0.99,0.99,3998,4072,4067,4076,4077,3972,-1.498,1,0,1,0,21.8,21.6,True,237.04,1.562,1797,0.001,0.031,25,16.2,1800
1743832259773,0.99,0.99,0.99,0.99,0.99,0.99,3997,4070,4067,4076,4074,3970,-1.498,1,0,1,0,21.8,21.6,True,236.99,1.562,1796,0.002,0.041,25,16.2,1800
1743832260374,0.99,0.99,0.99,0.99,0.99,0.99,3996,4068,4066,4073,4074,3969,-1.498,1,0,1,0,21.8,21.6,True,236.95,1.561,1796,0.002,0.051,25,16.2,1800
1743832260973,0.99,0.99,0.99,0.99,0.99,0.99,3995,4067,4065,4073,4073,3968,-1.498,1,0,1,0,21.8,21.6,True,236.88,1.562,1795,0.002,0.051,26,16.2,1800
1743832261574,0.99,0.99,0.99,0.99,0.99,0.99,3994,4067,4071,4064,4076,3968,-1.498,1,0,1,0,21.8,21.6,True,236.81,1.562,1794,0.003,0.062,26,16.2,1800
1743832262174,0.99,0.99,0.99,0.99,0.99,0.99,3993,4066,4063,4071,4071,3966,-1.498,1,0,1,0,21.8,21.6,True,236.8,1.562,1794,0.003,0.062,26,16.2,1800
1743832262774,0.99,0.99,0.99,0.99,0.99,0.99,3992,4065,4068,4061,4074,3966,-1.498,1,0,1,0,21.8,21.6,True,236.71,1.562,1793,0.003,0.072,27,16.2,1800
1743832263373,0.99,0.99,0.99,0.99,0.99,0.99,3992,4064,4060,4070,4068,3964,-1.497,1,0,1,0,21.8,21.6,True,236.66,1.563,1793,0.003,0.082,27,16.2,1800
1743832263974,0.99,0.99,0.99,0.99,0.99,0.99,3991,4064,4060,4067,4070,3963,-1.498,1,0,1,0,21.8,21.6,True,236.61,1.563,1792,0.003,0.082,27,16.2,1800
1743832264574,0.99,0.99,0.99,0.99,0.99,0.99,3990,4063,4059,4067,4067,3963,-1.498,1,0,1,0,21.8,21.6,True,236.55,1.563,1791,0.004,0.092,27,16.2,1800
1743832265174,0.99,0.99,0.99,0.99,0.99,0.99,3989,4061,4058,4067,4067,3961,-1.498,1,0,1,0,21.8,21.6,True,236.56,1.562,1791,0.004,0.092,28,16.2,1800
1743832265774,0.99,0.99,0.99,0.99,0.99,0.99,3989,4060,4065,4058,4068,3961,-1.497,1,0,1,0,21.8,21.6,True,236.5,1.563,1790,0.004,0.103,28,16.2,1800
1743832266374,0.99,0.99,0.99,0.99,0.99,0.99,3988,4060,4057,4066,4066,3960,-1.498,1,0,1,0,21.8,21.6,True,236.45,1.563,1789,0.005,0.113,28,16.2,1800
1743832266973,0.99,0.99,0.99,0.99,0.99,0.99,3987,4060,4063,4057,4067,3960,-1.498,1,0,1,0,21.8,21.6,True,236.41,1.563,1789,0.005,0.113,28,16.2,1800
1743832267574,0.99,0.99,0.99,0.99,0.99,0.99,3986,4059,4054,4064,4064,3958,-1.497,1,0,1,0,21.8,21.6,True,236.36,1.563,1788,0.005,0.123,28,16.2,1800
1743832268173,0.99,0.99,0.99,0.99,0.99,0.99,3986,4058,4061,4056,4066,3958,-1.498,1,0,1,0,21.8,21.6,True,236.36,1.563,1788,0.005,0.123,29,16.2,1800
1743832268774,0.99,0.99,0.99,0.99,0.99,0.99,3985,4057,4054,4063,4063,3957,-1.498,1,0,1,0,21.8,21.6,True,236.32,1.563,1787,0.006,0.133,29,16.2,1800
1743832269373,0.99,0.99,0.99,0.99,0.99,0.99,3984,4057,4053,4061,4061,3956,-1.498,1,0,1,0,21.8,21.6,True,236.27,1.564,1786,0.006,0.144,29,16.2,1800
1743832269974,0.99,0.99,0.99,0.99,0.99,0.99,3983,4056,4060,4053,4064,3956,-1.498,1,0,1,0,21.8,21.6,True,236.21,1.564,1786,0.006,0.144,29,16.2,1800
